,,,Disponible en Orbinox?,No,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No
,Hidrocarburos,Keroseno,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Cetonas,,,,,,1,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Diluyentes para laca,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,Resinas,Goma laca blanqueada,,,,,,1,,1,,,,,,,2,2,,,1,2,,,,,,,,,,,,,,,,
,Resinas,Goma laca naranja,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido láctico,,,1,1,,1,,,,,,,1,1,,,,1,,,,,,1,1,,,2,,,,1,,,,
,Resinas,Látex,,,,,,,,1,,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,
,Productos alimenticios,Leche,,,,,,,2,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,
,Bases,"Hidróxido de potasio (lejía de potasio, potasa cáustica)",,,,,,,1,1,,,,,,,1,2,,,,,,,,,1,,,,,2,,1,,,,
,Bases,Hidróxido de sodia (lejía de soda cáustica),,,,,,,,,,,,,,,1,1,,,1,2,1,,1,,1,,,,,,,,,,,
,Bases,Hidróxido de calcio (lejía de cal),,,2,1,1,2,2,2,,2,,,2,2,,,,2,2,,,2,1,1,,1,,,,,,1,,,,
,Otros inorgánicos,Licores blancos (molino de pasta),,,,,,2,1,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Ligroína,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido linoleico,,,2,,,,,,,1,,,2,2,1,,,,,,1,2,1,,,2,,,,,,,,2,,
,Sales,Cloruro de litio,,,2,,,2,,,1,2,,,,2,2,1,,,1,1,1,2,1,1,2,,,2,,,,,,2,,
,Bases,Hidróxido de litio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aceites y grasas,Lubricantes,,,,,,,1,1,1,1,,,2,,,,,,,,,,,2,2,2,,2,,,,,,,,
,Sales,Bisulfato de magnesio,,,,,,,,1,1,2,,,2,,,,,,2,,,2,,1,1,,,1,,,,,,1,,
,Sales,Carbonato de magnesio,,,2,,,,2,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de magnesio,,1,,,,1,1,1,2,2,1,,,,2,,2,,,,,,2,,,,,,,,2,2,2,2,2,
,Bases,Hidróxido de magnesio,,,,,,2,2,1,1,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,
,Sales,Nitrato de magnesio,,,,,,2,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Bases,Óxido de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido maléico,,,,,,2,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
,Anhídridos y halogenuros,Anhídrido maleico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido málico,,,,,,2,,,,1,,,2,,,,,,,,,,,,2,1,,2,,,,,,,,
,Productos alimenticios,Malta (mojada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de manganeso,2,1,,,,1,2,2,1,,2,,,2,2,2,,1,2,2,1,1,2,,2,1,,2,,,,2,2,2,,
,Productos alimenticios,Suero de mantequilla,,,1,1,,1,,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Mayonesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resinas,Melamina,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Melazas,,,,,,,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Mercurio,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,Sales,Cianuro de mercurio,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
,Sales,Cloruro de mercurio (diluido),,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
,Sales,Nitrato de mercurio,2,,2,,,,2,,2,,,,,,1,1,,,1,1,,2,1,1,1,,,,,,,1,1,,,
,Hidrocarburos,Metano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acetato de metilo,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Acetona de metilo,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Acrilato de metilo,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Alcohol metílico (10%),,,,1,,1,2,1,1,2,,,1,,,,,2,,,,1,,,,1,,,,,,,,,,
,Anhídridos y halogenuros,Bromuro de metilo,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,MBK (metil butil cetona),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Alcoholes,Metil (Cellosolve),,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro de metilo,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,2,,,,,,,,
,Solventes orgánicos,Dicloruro de metileno,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,Aldehídos y cetonas,MEK (metil etil cetona),,,,1,,2,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
,Ácidos,MEKP (peróxido de metil etil cetona),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,MIBK (metil isobutil cetona),,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Aldehídos y cetonas,Metil isopropil cetona,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Metacrilato de metilo,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Metilamina,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,2,,,,,,2,,
,Solventes orgánicos,Cloruro de metileno,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Miel,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Licores minerales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido monocloroacético,,,,,,,,,,,,2,,1,,,2,2,,1,,,,1,1,,,1,,,,2,2,2,,
,Aminas y nitrogenados,Monoetanolamina,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Morfolina,,,,,,,,2,,2,,2,,1,,,,,1,,,,,,1,1,,,,,,1,,1,,
,Aceites y grasas,Aceite de motor,,,,,,1,,2,,1,,,,,,,,2,,1,,2,,1,2,1,,1,,,,,1,2,,
,Hidrocarburos,Nafta,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Naftalina,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,
,Hidrocarburos,Gas natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cloruro de níquel,,,,,,,1,1,2,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,
,Sales,Nitrato de níquel,,,2,1,,,2,1,,2,,2,,2,1,2,,2,1,2,,2,2,,2,,,2,,,,2,,,,
,Sales,Sulfato de níquel,,,,,,,1,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,
,Ácidos,Ácido nitratador (<1% ácido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido nitratador (<15% SO4H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido nitratador (>15% SO4H2),,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido nitratador (<15% HNO3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido nítrico (5% - 10%),,,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,1,,,,1,1,,,
,Ácidos,Ácido nítrico (20%),,,2,1,,,2,,1,2,,,1,,,1,,1,,,,,,,,,,1,,,,1,1,,,
,Ácidos,Ácido nítrico (50%),,,1,,,1,2,,,,,,1,1,,,,,,,,,,2,1,,,1,,,,1,1,,,
,Ácidos,Ácido nítrico concentrado,,,,,,1,1,,1,,,,1,1,,,,1,,,,,,1,1,,,2,,,,1,1,,,
,Otros orgánicos,Nitrobenzeno,,,,1,,1,,1,,1,2,,,1,,1,,1,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Fertilizante nitrogenado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros orgánicos,Nitrometano,,,,,,,,1,,2,2,,2,2,,2,,,1,,,2,,,1,,,,,,,,,2,,
,Ácidos,Ácido nitroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Óxido nitroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido oleico,,,,,,2,1,,,1,,,2,,,,,,,,,,,,,,,1,,,,2,,,,
,Ácidos,Oleum (25%),,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,
,Ácidos,Oleum (100%),,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido oxálico (frío),,,,,,2,1,2,,2,,1,,,,,,,,,,,,,,,,2,,,,,,,,
,Otros orgánicos,Orina,,,,,,2,2,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,
,Otros inorgánicos,Inhibidores de óxido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gases,Ozono,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido palmítico,,,1,,,,,,,1,,2,1,2,2,1,,,1,,,1,1,1,1,,,,,,,,,2,,
,Hidrocarburos,Parafina,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Pentano,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido perclórico,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Percloroetileno,,,1,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
,Hidrocarburos,Petrolatum (vaselina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Petróleo,,,2,2,,1,,1,,1,,2,,,2,,,,,1,,,2,1,1,,,1,,,,,1,2,,
,Ácidos,Ácido pícrico,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Pridina,,,,,,1,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido pirogálico,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
,Sales,Bromuro de plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Nitrato de plata,,,1,,,,,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Acetato de plomo,,,2,,,2,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,
,Sales,Nitrato de plomo,,,2,,,2,1,,,2,,1,2,2,2,2,,,1,1,1,2,2,1,1,,,2,,,,2,,1,,
,Sales,Sulfamato de plomo,,,,,,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Carbonato de potasio,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,Sales,Bicarbonato de potasio,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Sales,Bromuro de potasio,1,,,,,,1,1,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,
,Sales,Cianuro de potasio (solución),,,,,,,1,1,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,
,Sales,Clorato de potasio,,,,,,1,1,1,1,,,,,,1,1,,2,,,,,,1,,,,1,,,1,,,2,,
,Sales,Cloruro de potasio,,,,,,1,1,1,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,
,Sales,Cromato de potasio,,,,,,,2,,,,,1,,,1,2,,,,,,,,1,1,1,,1,,,,,,,,
,Sales,Dicromato de potasio,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,
,Sales,Ferricianuro de potasio,,1,,1,,2,2,1,,2,,2,,2,,,1,1,,1,,,,1,1,2,,2,,,,2,2,2,,
,Sales,Ferrocianuro de potasio,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
,Sales,Hipoclorito de potasio,,,,,,1,,1,,,,2,1,1,1,1,1,,1,2,,1,,1,,,,,,,,2,1,,,
,Sales,Ioduro de potasio,,,,,,1,,1,,2,2,2,2,2,1,,2,,,,,,,1,1,1,,1,,,1,2,1,1,1,
,Sales,Nitrato de potasio,,,,,,,1,1,1,,,,,,2,,,,,,,,,,,,,1,,,,1,,,,
,Sales,Oxalato de potasio,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,1,,,,1,1,1,,
,Sales,Permagranato de potasio,1,,1,,,,,,2,1,,,1,,,,,,1,,,,,1,,1,,1,,,,1,,1,,
,Sales,Sulfato de potasio,,,,,,2,,1,1,,,,2,,2,1,,1,,,,,2,1,,,,1,,,,1,,,,
,Sales,Sulfuro de potasio,,,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Propano (líquido),,,1,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
,Hidrocarburos,Propileno,,,,,,,,,,,,2,1,,,,,,,,,1,1,1,1,,,,,,,,,2,,
,Alcoholes,Propilenglicol,,,1,,,2,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Resinas,Resina (sintética),,,1,,,1,,1,,2,,,1,,2,,,,,,,,,1,1,1,,,,,,,,,,
,Otros orgánicos,Resorcinol (resorcina),,,,,,2,,,1,2,,2,,,,1,,,,,,,1,,,,,,,,,,,2,,
,Productos alimenticios,Ron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido salicílico,,,,,,2,,1,1,1,,2,1,,,,,1,,,,1,1,2,2,2,,,,,,2,1,2,,
,Otros inorgánicos,Salmuera (NaCl saturada),,,2,,1,,,,,,,2,,,,,2,,,2,1,,2,1,2,1,,2,,,,2,2,2,,
,Productos alimenticios,Sidra,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Resinas,Silicona,,,,,,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Acetato de sodio,,,,,,,1,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
,Sales,Aluminato de sodio,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Benzoato de sodio,,,2,2,,2,,1,2,2,,2,1,2,,,,,,1,,1,1,,,1,,,,,,1,1,2,,
,Sales,Bicarbonato de sodio,,,2,,,2,,,2,,,,2,,1,2,,,,,,,,,1,,,,,,,1,2,,,
,Sales,Bisulfato de sodio,,,2,,,2,1,1,1,,,,2,,2,2,,2,,,,,,,,,,2,,,,2,,,,
,Sales,Bisulfito de sodio,,,2,,,2,1,1,1,,,,2,,2,2,,,,,,,,1,1,,,1,,,,,,,,
,Sales,Bórax (borato de sodio),,,2,,,2,1,1,1,2,,,2,,1,,,,,,,,,2,,,,,,,,,,,,
,Sales,Bromuro de sodio,,,2,,,2,2,1,,,,2,2,2,,,,1,1,1,,2,1,,,,,,,,,,1,2,,
,Sales,Carbonato de sodio,,1,2,1,,2,,1,2,,,,2,,,2,,,,,,,,,,,,2,,,,,1,,,
,Sales,Clorato de sodio,,,1,,,2,1,,1,,,,1,,,,,,,,,,,,1,1,,1,,,,1,,,,
,Sales,Cloruro de sodio,,1,2,,,2,,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Cromato de sodio,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,Sales,Cianuro de sodio,,,2,,,2,1,1,,,,,2,,,2,,,,1,,,2,1,1,,,,,,,,,,,
,Sales,Ferrocianuro de sodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Fluoruro de sodio,,,2,,,2,2,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,
,Sales,Hidrosulfito de sodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bases,Hidróxido de sodio (20%),,,,2,,,,,2,,,,,,,,,,1,2,2,1,1,,2,,,,2,2,2,,1,2,,
,Bases,Hidróxido de sodio (50%),,,,,,,,,,,,,,,1,1,,,1,2,1,1,1,,1,,,,2,,,,,,,
,Bases,Hidróxido de sodio (80%),,,,1,,,,,,,,1,,,,1,2,,1,1,1,1,1,,1,,,,,,,1,,2,,
,Sales,Hipoclorito de sodio (100%),,,2,,,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
,Sales,Hipoclorito de sodio (<20%),,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,Sales,Hiposulfato de sodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Metafosfato de sodio,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Metasilicato de sodio,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
,Sales,Nitrato de sodio,,,,,,2,1,1,,,,,2,,1,,,,,,,,,1,1,,,,,,,,,,,
,Sales,Perborato de sodio,,,1,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Peróxido de sodio,,,2,,,,,1,2,,,,2,,,,,,,1,,,,,,,,,,,,,,,,
,Sales,Polifosfato de sodio,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Silicato de sodio,,,2,,,2,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de sodio,,,2,,,2,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,
,Sales,Sulfuro de sodio,,,2,,,2,,1,,,,,2,,,2,,1,,,,,2,,,,,1,,,,1,,,,
,Sales,Sulfito de sodio,,,2,,,1,,,,2,,,2,,,,,,,,,,2,,,1,,,,1,,,,,,
,Sales,Tetraborato de sodio,,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,
,Sales,Tiosulfato de sodio (hipo),,1,2,,,1,,,,2,,,2,,,2,,,,2,,,,2,,,,2,,,,2,,,,
,Solventes orgánicos,Disolvente Stoddard,,,1,,,2,,,2,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
,Otros orgánicos,Suero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Otros inorgánicos,Licores de sulfato,,,,,,2,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,
,Ácidos,Ácido sulfúrico (<10%),,,,1,,1,,1,1,2,,,1,,1,,,,1,2,,,,,,,,,,,,1,,1,,
,Ácidos,Ácido sulfúrico (10% - 75%),,,,1,,1,,,1,1,,,1,,1,2,,,,1,,,2,,,,,,,,,1,,1,,
,Ácidos,Ácido sulfúrico (75% - 100%),,,,1,,1,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,1,,1,,
,Ácidos,Ácido sulfúrico concentrado (frío),,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,
,Ácidos,Ácido sulfúrico concentrado (caliente),,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
,Ácidos,Ácido sulfuroso,,,2,,,2,,,,,,,2,,1,,,,,,,,,1,,1,,,,,,,,,,
,Anhídridos y halogenuros,Cloruro sulfúreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido tánico,,,1,,,2,2,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,
,Ácidos,Ácido tartárico,,,1,,,1,1,2,,,,,1,,,,,2,,2,,,,2,2,1,,1,,,,,1,,,
,Solventes orgánicos,Tetracloroetano,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Tetracloroetileno (percloroetileno),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Tetrahidrofurano (THF),,,,,,1,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,
,Hidrocarburos,Tolueno,,1,,1,,1,,1,,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Trementina (aguarrás),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido tricloroacético,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Tricloroetano,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solventes orgánicos,Tricloroetileno (TCE),,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,
,Anhídridos y halogenuros,Triclorofosfato,,,,,,1,,2,,1,,,,,,,,,,,,,2,,,,,2,,,,,,,,
,Solventes orgánicos,Tricloropropano,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Aminas y nitrogenados,Trietilamina,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,
,Sales,Fosfato trisódico,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,Aminas y nitrogenados,Urea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ácidos,Ácido úrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Productos alimenticios,Vinagre,,,,,,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Solventes orgánicos,Acetato de vinilo (VAM),,,,1,,,,,,1,,2,,2,,2,2,,,,,,1,,,1,,,,,,,,2,,
,Solventes orgánicos,Cloruro de vinilo (VCM),,,,,,,,1,,,,2,,1,,,,,,,,,1,2,1,1,,2,,,,2,,2,,
,Productos alimenticios,Whiskey y vinos,,,2,,,,2,1,1,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
,Hidrocarburos,Xileno,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,Sales,Cloruro de zinc,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
,Sales,Hidrosulfito de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,Sulfato de zinc,,,,,,2,1,,2,,,,2,,,,,,,,,,,1,,,2,,,,1,2,2,,,
